FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.372,China,Qinghai,QTB03 (CN18),Discontinuous,93.7846,35.5232,4574.2202,20,POINT (93.78463 35.52323),,,43,Lin Zhao,24
tsp.373,China,Qinghai,QTB04 (CN19),Discontinuous,93.6003,35.4308,4463.3081,130,POINT (93.60032 35.4308),,,43,Lin Zhao,24
tsp.374,China,Qinghai,QTB05 (CN20),Discontinuous,93.4466,35.3644,4501.0737,30,POINT (93.4466 35.3644),,,43,Lin Zhao,24
tsp.375,China,Qinghai,QTB06 (CN22),Discontinuous,93.2678,35.2901,4559.1938,30,POINT (93.2678 35.2901),,,43,Lin Zhao,24
tsp.376,China,Qinghai,QTB07 (CN23),Discontinuous,93.074,35.1936,4636.8193,39.6,POINT (93.074 35.1936),,,43,Lin Zhao,24
tsp.377,China,Qinghai,QTB09 (CN25),Discontinuous,93.0333,35.1333,4749.895,20,POINT (93.0333 35.1333),,,43,Lin Zhao,24
tsp.378,China,Qinghai,QTB11 (CN27),Discontinuous,92.6563,34.3872,4603.9297,20,POINT (92.6563 34.3872),,,43,Lin Zhao,24
tsp.379,China,Qinghai,QTB15 (CN31),Discontinuous,91.898,33.0975,4943.3223,60,POINT (91.89804 33.09753),,,43,Lin Zhao,24
tsp.380,China,Qinghai,QTB16 (CN32),Discontinuous,91.9388,33.072,5039.8882,34.5,POINT (91.93877 33.072),,,43,Lin Zhao,24
tsp.381,China,Qinghai,QTB18 (CN34),Sporadic,91.7369,31.8186,4795.6519,60,POINT (91.73685 31.81863),,,43,Lin Zhao,24
tsp.382,China,Qinghai,XDTGT,Discontinuous,94.1252,35.719,4448.022,30,POINT (94.12517 35.719),,,43,Lin Zhao,24
tsp.383,China,Qinghai,Chumar River,Discontinuous,93.9504,35.1774,4427.105,14.5,POINT (93.95038 35.17738),,,44,Huijun Jin,24
tsp.384,China,Qinghai,Quma River,Discontinuous,94.7903,34.9038,4465.1792,15,POINT (94.79033 34.90383),,,44,Huijun Jin,24
tsp.385,China,Qinghai,TP-1D (CM2),Discontinuous,93.5336,35.3969,4484.9097,30,POINT (93.53361111 35.39694444),,,45,Liu Jing,24
tsp.386,China,Qinghai,TP-2D(Kunlunshan),Discontinuous,94.05,35.62,4755.0098,18,POINT (94.05 35.62),,,46,Qingbai Wu ,24
tsp.387,China,Qinghai,TP-3D(Bu Dongquan),Discontinuous,93.96,35.55,4650.6421,18,POINT (93.96 35.55),,,46,Qingbai Wu ,24
tsp.388,China,Qinghai,TP-4D(Chumaerhe high Plain),Discontinuous,93.45,35.36,4501,40,POINT (93.45 35.36),,,46,Qingbai Wu ,24
tsp.389,China,Qinghai,TP-5D (Kekexili Mt.),Discontinuous,93.04,35.14,4714.9731,39.4,POINT (93.04 35.14),,,45,Liu Jing,24
tsp.390,China,Qinghai,TP-6D (Kaixinling),Discontinuous,92.34,34.01,4671.4775,18,POINT (92.34 34.01),,,46,Qingbai Wu ,24
tsp.391,China,Qinghai,TP-7D (Kaixingling),Discontinuous,92.34,33.96,4623.9629,40,POINT (92.34 33.96),,,46,Qingbai Wu ,24
tsp.392,China,Qinghai,TP-8D(Buquhe),Discontinuous,92.35,33.85,4608,26,POINT (92.35 33.85),,,46,Qingbai Wu ,24
tsp.393,China,Qinghai,TP-9D (Tanggulashan),Discontinuous,91.66,33.01,5068.5503,19,POINT (91.66 33.01),,,45,Liu Jing,24
tsp.394,China,Qinghai,TP-4S(TGI),Discontinuous,91.8711,32.7083,4982.0015,10,POINT (91.87111111 32.70833333),,,46,Qingbai Wu ,24
tsp.395,China,Qinghai,TP-5S(TM1),Discontinuous,91.8214,32.4925,4899.2329,10.7,POINT (91.821389 32.4925),,,46,Qingbai Wu ,24
tsp.396,China,Qinghai,TP-6S(AD1),Sporadic,91.7075,32.3833,4808.8857,10.7,POINT (91.7075 32.383333),,,46,Qingbai Wu ,24
tsp.397,China,Qinghai,TP-3S(FH1),Discontinuous,92.8917,34.69,5049.7764,6,POINT (92.891667 34.69),,,46,Qingbai Wu ,24
tsp.398,China,Qinghai,TP-2S(WD2),Discontinuous,93.0367,35.1267,4739.1895,8,POINT (93.036667 35.126667),,,46,Qingbai Wu ,24
tsp.400,Russia,Vorkuta,Vorkuta 106,Continuous,61.5205,67.9619,132.9547,8,POINT (61.52051 67.96188),2007,2009,83,Naum G. Oberman,46
tsp.401,Russia,Vorkuta,Vorkuta 35,Continuous,61.4962,67.9622,144.6529,15,POINT (61.49621 67.96219),2007,2010,83,Naum G. Oberman,46
tsp.402,Russia,Vorkuta,Vorkuta 37,Continuous,61.505,67.9573,130.0995,15,POINT (61.50501 67.95733),2007,2010,83,Naum G. Oberman,46
tsp.403,Russia,Vorkuta,Vorkuta 100,Continuous,61.5007,67.9547,140.6116,16,POINT (61.50075 67.95469),2007,2010,83,Naum G. Oberman,46
tsp.404,Russia,Vorkuta,Vorkuta KT-18,Continuous,62.4097,68.2384,95.6416,15,POINT (62.40969 68.23839),,,83,Naum G. Oberman,46
tsp.405,Russia,Vorkuta,Vorkuta KT-17,Continuous,62.4289,68.2439,87.1652,15,POINT (62.42892 68.24394),,,83,Naum G. Oberman,46
tsp.406,Russia,Vorkuta,Vorkuta KT-16a,Continuous,62.434,68.246,83.9354,15,POINT (62.43403 68.246),,,83,Naum G. Oberman,46
tsp.407,Russia,Vorkuta,Vorkuta KT-14,Continuous,62.4609,68.2546,65.0924,9,POINT (62.46094 68.25456),,,83,Naum G. Oberman,46
tsp.408,Russia,Vorkuta,Vorkuta KT-8,Continuous,62.4792,68.2602,39,15,POINT (62.47919 68.26025),,,83,Naum G. Oberman,46
tsp.409,Russia,Vorkuta,Vorkuta KT-5,Continuous,62.4917,68.2643,50.0634,15,POINT (62.49172 68.26428),,,83,Naum G. Oberman,46
tsp.410,Russia,Vorkuta,Vorkuta KT-22,Continuous,62.4994,68.2705,47.6225,10,POINT (62.49942 68.27053),,,83,Naum G. Oberman,46
tsp.411,Russia,Vorkuta,Vorkuta KT-21,Continuous,62.515,68.2739,37.7444,22,POINT (62.51497 68.27393),2009,2009,83,Naum G. Oberman,46
tsp.412,Russia,Vorkuta,Vorkuta KT-4,Continuous,62.5306,68.2781,21.736,12,POINT (62.53056 68.27806),,,83,Naum G. Oberman,46
tsp.413,Russia,Vorkuta,Vorkuta KT-3B,Continuous,62.5426,68.2803,15.2697,25.6,POINT (62.54264 68.28031),,,138,Ivan Valentinovich Derevyanko,72
tsp.414,Russia,Vorkuta,Vorkuta KT-27,Continuous,62.5875,68.2944,8.6677,5,POINT (62.58753 68.29442),,,83,Naum G. Oberman,46
tsp.415,Russia,Vorkuta,Vorkuta 34,Continuous,65.8106,68.262,152.3153,5,POINT (65.81061 68.26196),,,83,Naum G. Oberman,46
tsp.416,Russia,Vorkuta,Vorkuta 23,Continuous,65.8077,68.2563,158.0001,9,POINT (65.80772 68.25634),,,83,Naum G. Oberman,46
tsp.417,Russia,Vorkuta,Vorkuta 30,Continuous,65.8015,68.2571,153,7,POINT (65.80147 68.25715),,,83,Naum G. Oberman,46
tsp.418,Russia,Vorkuta,Vorkuta 32,Continuous,65.8019,68.2558,153,8,POINT (65.80191 68.25584),,,83,Naum G. Oberman,46
tsp.419,Russia,Novyi Urengoy,Urengoy 05-01*,Discontinuous,76.5408,66.1882,58,10,POINT (76.54077 66.18825),,,75,Dmitry S. Drozdov,43
tsp.420,Russia,Novyi Urengoy,Urengoy 05-03,Discontinuous,76.5408,66.1873,59,10,POINT (76.54077 66.18728),1974,2015,75,Dmitry S. Drozdov,43
tsp.421,Russia,Novyi Urengoy,Urengoy 05-05,Discontinuous,76.9066,66.3149,66.4254,10,POINT (76.90662 66.31492),,,75,Dmitry S. Drozdov,43
tsp.422,Russia,Novyi Urengoy,Urengoy 15-20*,Discontinuous,76.9066,66.3149,66.4254,10,POINT (76.90662 66.31492),,,75,Dmitry S. Drozdov,43
tsp.423,Russia,Novyi Urengoy,Urengoy 05-06,Discontinuous,76.9077,66.3154,66.2469,10,POINT (76.90772 66.31537),,,75,Dmitry S. Drozdov,43
tsp.424,Russia,Novyi Urengoy,Urengoy 05-08*,Discontinuous,76.9089,66.3151,66.1099,9,POINT (76.90894 66.31507),,,75,Dmitry S. Drozdov,43
tsp.425,Russia,Novyi Urengoy,Urengoy 05-09*,Discontinuous,76.9091,66.315,66.0855,10,POINT (76.90914 66.315),,,75,Dmitry S. Drozdov,43
tsp.426,Russia,Novyi Urengoy,Urengoy 05-10,Discontinuous,76.9354,66.303,58.232,3,POINT (76.93543 66.30303),,,75,Dmitry S. Drozdov,43
tsp.427,Kazakhstan,Karasay,K0,Discontinuous,76.9442,43.0433,3335.6304,25,POINT (76.94420833 43.04334722),,,61,Sergey Marchenko,5
tsp.428,Kazakhstan,Karasay,K1,Discontinuous,76.945,43.0433,3325.6794,5,POINT (76.94501 43.04331),,,61,Sergey Marchenko,5
tsp.429,Kazakhstan,Karasay,K2,Discontinuous,76.9455,43.0436,3316.6646,4,POINT (76.94551 43.0436),,,61,Sergey Marchenko,5
tsp.430,Kazakhstan,Karasay,C70,Discontinuous,76.9443,43.0406,3336.5095,70,POINT (76.94426 43.04063),,,61,Sergey Marchenko,5
tsp.431,Russia,Bolvansky,Bolvansky 54,Continuous,54.5042,68.2911,27.5,12,POINT (54.504167 68.291111),2006,2016,78,Galina Malkova,43
tsp.432,Russia,Bolvansky,Bolvansky 55,Continuous,53.5025,68.2897,24,10,POINT (53.5025 68.289722),2006,2015,78,Galina Malkova,43
tsp.433,Russia,Bolvansky,Bolvansky 56,Continuous,54.5058,68.2897,23,10,POINT (54.505833 68.289722),2007,2016,78,Galina Malkova,43
tsp.434,Russia,Bolvansky,Bolvansky 61,Continuous,54.4952,68.2874,30,15,POINT (54.4952 68.2874),,,78,Galina Malkova,43
tsp.435,Russia,Marre Sale,Marre Sale 3,Continuous,66.8125,69.7164,0,10,POINT (66.8125 69.7164),2006,2016,103,Alexander A. Vasiliev,43
tsp.436,Russia,Marre Sale,Marre Sale 17,Continuous,66.8179,69.7152,0,10,POINT (66.8179 69.7152),2006,2016,103,Alexander A. Vasiliev,43
tsp.437,Russia,Marre Sale,Marre Sale 1,Continuous,66.8139,69.7141,0,10,POINT (66.8139 69.7141),2007,2012,103,Alexander A. Vasiliev,43
tsp.438,Russia,Marre Sale,Marre Sale 43,Continuous,66.8341,69.7093,0,10,POINT (66.8341 69.7093),2006,2016,103,Alexander A. Vasiliev,43
tsp.439,Russia,Bovanenkovo,Bovanenkovo 2,Continuous,70.3483,68.5033,5,0.5,POINT (70.3483 68.5033),,,74,Anna Kurchatova,44
tsp.440,Russia,Bovanenkovo,Bovanenkovo 1,Continuous,70.3983,68.4083,64.9786,0.5,POINT (70.3983 68.4083),,,74,Anna Kurchatova,44
tsp.441,Russia,Novyi Urengoy,Urengoy 05-28*,Continuous,76.6923,67.4744,8.7272,9,POINT (76.69226 67.47443),,,75,Dmitry S. Drozdov,43
tsp.442,Russia,Novyi Urengoy,Urengoy 15-04,Continuous,76.6913,67.4746,8.9463,10,POINT (76.69128 67.47461),,,75,Dmitry S. Drozdov,43
tsp.443,Russia,Novyi Urengoy,Urengoy 15-06*,Continuous,76.6958,67.4768,14.1661,5,POINT (76.69579 67.47676),,,75,Dmitry S. Drozdov,43
tsp.444,Russia,Novyi Urengoy,Urengoy 15-08*,Continuous,76.6953,67.4779,16.6487,10,POINT (76.69529 67.47791),,,75,Dmitry S. Drozdov,43
tsp.445,Russia,Novyi Urengoy,Urengoy 15-10,Continuous,76.6924,67.4781,15.9536,10,POINT (76.69245 67.47814),,,75,Dmitry S. Drozdov,43
tsp.446,Russia,Novyi Urengoy,Urengoy 15-21*,Continuous,76.6899,67.4779,14.7918,10,POINT (76.68989 67.47793),,,75,Dmitry S. Drozdov,43
tsp.447,Russia,Novyi Urengoy,Urengoy 507,Continuous,76.6897,67.4781,15.0267,10,POINT (76.68969 67.47813),,,75,Dmitry S. Drozdov,43
tsp.448,Russia,Udachny,Udachny 111,Continuous,112.4348,66.4338,400.6312,660,POINT (112.434805 66.433833),,,73,Sergey Alexeev,7
tsp.449,Russia,Udachny,Udachny 1,Continuous,112.3258,66.3852,424.1272,15,POINT (112.32581 66.385181),2013,2014,82,Sergey Veilikin,45
tsp.450,Russia,Udachny,Udachny 256,Continuous,112.3882,66.3601,441.3631,201,POINT (112.388194 66.36011),,,73,Sergey Alexeev,7
tsp.451,Russia,Yakutsk,Tuymada 70,Continuous,129.656,62.0136,118.45,70,POINT (129.65605 62.01359),2007,2013,137,Pavel Skryabin,45
tsp.452,Russia,Yakutsk,Bestyakh 32,Continuous,129.7352,61.6851,139.754,25,POINT (129.7352 61.6851),2000,2013,81,Mikail Zheleznyak,45
tsp.453,Russia,Yakutsk,Bestyakh 30,Continuous,129.6852,61.6851,126.4721,15,POINT (129.6852 61.6851),2007,2013,81,Mikail Zheleznyak,45
tsp.454,Russia,Yakutsk,Bestyakh 31,Continuous,129.2519,61.3521,202.7031,15,POINT (129.2519 61.3521),2007,2013,81,Mikail Zheleznyak,45
tsp.455,Antarctica,Mount Fleming,Mt Fleming,Unknown,160.2539,-77.5348,1863.3604,0.75,POINT (160.25386934 -77.53481956),,,25,Cathy Seybold,12
tsp.456,Antarctica,Ross Island,Scott Base,Unknown,166.7588,-77.8492,40,1.2,POINT (166.75883 -77.84917),,,142,Ron Frank Paetzold,12
tsp.457,China,Tien Shan,China09,Discontinuous,86.8525,43.1192,3499.5999,58.5,POINT (86.8525 43.1192),,,43,Lin Zhao,24
tsp.458,China,Aksai Chin,Tianshuihal,Discontinuous,79.5461,35.4059,4827.7573,43,POINT (79.54615 35.40587),,,44,Huijun Jin,24
tsp.459,China,Qinghai,Zuimatan,Sporadic,99.1328,35.3587,4182.5908,15,POINT (99.13283 35.35867),,,44,Huijun Jin,24
tsp.460,Mongolia,Bagnuur,Baganuur M1 depression (lake bank),Isolated Patches,108.2625,41.6889,1345,15,POINT (108.2625 41.68888889),,,62,Natsagdorj Sharkhuu,39
tsp.461,Mongolia,Bagnuur,Baganuur M1a depression (plain),Isolated Patches,108.2944,41.6944,1350,21,POINT (108.29444444 41.69444444),,,62,Natsagdorj Sharkhuu,39
tsp.462,Mongolia,Bayan-Ulgii,Udleg,Sporadic,89.7441,49.5225,2124.7773,10,POINT (89.7441 49.5225),,,64,Mamoru Ishikawa,37
tsp.463,Mongolia,Bayan-Ulgii,Tsagaannuur1,Sporadic,89.7441,49.5225,2124.7773,10,POINT (89.7441 49.5225),,,64,Mamoru Ishikawa,37
tsp.464,Russia,Ust-Kamchatsky,Kamchatka 1_06,Discontinuous,160.5358,55.8878,1585.3826,9,POINT (160.53583 55.88783),2007,2011,31,Andrey Abramov,14
tsp.465,Russia,Ust-Kamchatsky,Kamchatka 11-04,Discontinuous,160.7482,56.1156,1425.8685,2,POINT (160.7482 56.1156),,,31,Andrey Abramov,14
tsp.466,Russia,Ust-Kamchatsky,Kamchatka 3_06,Discontinuous,160.5058,55.9872,1980.0931,5,POINT (160.50583 55.98716),2006,2009,31,Andrey Abramov,14
tsp.467,Russia,Ust-Kamchatsky,Kamchatka 10_04,Discontinuous,160.5841,55.931,1424.3774,16,POINT (160.58413 55.930983),2007,2013,31,Andrey Abramov,14
tsp.468,Russia,Ust-Kamchatsky,Kamchatka 8_03,Discontinuous,160.2896,55.7507,1313.9171,25,POINT (160.28965 55.7507),2008,2012,31,Andrey Abramov,14
tsp.469,Mongolia,Bayan-Ulgii,Tsagaannuur2,Sporadic,89.7314,49.4867,2116.4448,10,POINT (89.7314 49.4867),,,64,Mamoru Ishikawa,37
tsp.470,Japan,Daisetsu,Daisetsu#07,Isolated Patches,142.8827,43.6726,2021.0616,1.8,POINT (142.8827 43.6726),,,64,Mamoru Ishikawa,37
tsp.471,Japan,Daisetsu,Daisetsu#01,Isolated Patches,142.9077,43.6683,2065.1646,2.9,POINT (142.9077 43.6683),,,64,Mamoru Ishikawa,37
tsp.472,Japan,Daisetsu,Daisetsu#02,Isolated Patches,142.9199,43.6629,2113.73,2.9,POINT (142.9199 43.6629),,,64,Mamoru Ishikawa,37
tsp.473,Japan,Daisetsu,Daisetsu#06,Isolated Patches,142.9151,43.6729,2023.5842,5,POINT (142.9151 43.6729),,,60,Go  Iwahana,40
tsp.474,Japan,Daisetsu,Daisetsu#05,Isolated Patches,142.9151,43.6729,2023.5842,10,POINT (142.9151 43.6729),,,60,Go  Iwahana,40
tsp.475,Japan,Daisetsu,Daisetsu#04,Isolated Patches,142.9151,43.6729,2023.5842,2.9,POINT (142.9151 43.6729),,,64,Mamoru Ishikawa,37
tsp.476,Japan,Daisetsu,Daisetsu#03,Isolated Patches,142.9093,43.6603,2164.9561,2.9,POINT (142.9093 43.6603),,,64,Mamoru Ishikawa,37
tsp.477,Japan,Fujiyama,Kinmei,No Permafrost,138.7296,35.3651,3693.9612,3,POINT (138.72959 35.36509),,,59,Atsushi Ikeda,35
tsp.478,Japan,Fujiyama,Toraiwa,No Permafrost,138.73,35.36,3695.8792,3.3,POINT (138.73 35.36),,,59,Atsushi Ikeda,35
tsp.479,Japan,Fujiyama,Ke-leeward,No Permafrost,138.7276,35.3619,3701.6316,2,POINT (138.7276 35.36188),,,59,Atsushi Ikeda,35
tsp.480,Antarctica,Hurd - Juan Carlos I Station,Byers Peninsula 2. Livingston Island,Unknown,-61.1042,-62.6499,0,0.8,POINT (-61.104194 -62.649917),,,104,Miguel Ángel de Pablo Hernández,13
tsp.481,Antarctica,Hurd - Juan Carlos I Station,Byers Peninsula 1. Livingston Island,,-61.1039,-62.6501,85,1.85,POINT (-61.103889 -62.650139),,,104,Miguel Ángel de Pablo Hernández,13
tsp.482,Antarctica,Hurd - Juan Carlos I Station,Incinerador Point. Livingston Island,Discontinuous,-60.3856,-62.6647,30,2.4,POINT (-60.38556 -62.66472),,,28,Miguel Ramos,13
tsp.483,Antarctica,Hurd - Juan Carlos I Station,Nuevo Incinerador. Livingston Island,,-60.3856,-62.6647,25,1.3,POINT (-60.38556 -62.66472),,,28,Miguel Ramos,13
tsp.484,Antarctica,Hurd - Juan Carlos I Station,Collado Ramos. Livingston Island,Continuous,-60.3919,-62.6678,117,1.3,POINT (-60.391944 -62.667778),,,28,Miguel Ramos,13
tsp.485,Antarctica,Hurd - Juan Carlos I Station,Permamodel-Gulbenkian 2. Reina Sofia. Livingston Island,,-60.3822,-62.6703,269,15,POINT (-60.38222 -62.67028),,,28,Miguel Ramos,13
tsp.486,Antarctica,Hurd - Juan Carlos I Station,Mount Reina Sofía. Livingston Island,Continuous,-60.3822,-62.6703,274,1.2,POINT (-60.38222 -62.67028),,,28,Miguel Ramos,13
tsp.487,Antarctica,Hurd - Juan Carlos I Station,Permamodel-Gulbenkian 0. Reina Sofia. Livingston Island,Unknown,-60.3822,-62.6703,274,1.8,POINT (-60.38222 -62.67028),,,28,Miguel Ramos,13
tsp.488,Antarctica,Hurd - Juan Carlos I Station,Permamodel-Gulbenkian 1. Reina Sofia. Livingston Island,,-60.3822,-62.6703,272,25,POINT (-60.38222 -62.67028),,,28,Miguel Ramos,13
tsp.489,Iceland,Icelandic site,Hagöngur*,Mountain,-18.2416,64.5563,899,12.3,POINT (-18.241639 64.556278),2004,2010,49,Bernd Etzelmüller,29
tsp.490,Iceland,Icelandic site,Gagnheidi*,Mountain,-14.2596,65.2242,943.7656,14.1,POINT (-14.259639 65.22425),2004,2012,49,Bernd Etzelmüller,29
tsp.491,Iceland,Icelandic site,Saudafell near Snæfell,Mountain,-15.5022,64.8836,906,20.5,POINT (-15.50222 64.883583),2004,2012,49,Bernd Etzelmüller,29
tsp.492,Svalbard,Svalbard ,SV-1 Svea,Continuous,16.7668,77.8863,1.8363,8,POINT (16.766807 77.886277),,,69,Fabrice Caline,41
tsp.493,Svalbard,Svalbard ,SV-B-5* Svea,Continuous,16.7951,77.8818,5.5526,8,POINT (16.79506 77.881767),,,69,Fabrice Caline,41
tsp.494,Svalbard,Svalbard ,SV-4 Svea,Continuous,16.8127,77.8738,1.5045,8,POINT (16.812665 77.873764),,,69,Fabrice Caline,41
tsp.495,Svalbard,Svalbard ,SV-B-2* Svea,Continuous,16.7722,77.8781,17,8,POINT (16.772199 77.878058),,,69,Fabrice Caline,41
tsp.496,Svalbard,Svalbard ,Longyearbyen school SK-B-1,Continuous,15.6064,78.2089,68,9,POINT (15.60637 78.20894),,,66,Hanne Hvidtfeldt  Christiansen ,41
tsp.497,Svalbard,Svalbard ,Huset rock glacier,Continuous,15.587,78.209,150,15,POINT (15.587 78.209),,,72,Norikazu Matsuoka,35
tsp.498,Svalbard,Svalbard ,Dh2-CO2-07,Continuous,15.5456,78.2361,20.5296,856,POINT (15.54557 78.23608),,,70,Alvar Braathen,41
tsp.499,Svalbard,Svalbard ,Dh1-CO2-07,Continuous,15.5468,78.236,5,518,POINT (15.5468 78.236),,,70,Alvar Braathen,41
tsp.500,Svalbard,Svalbard ,Dh4-CO2-07,Continuous,15.8236,78.2025,9,900,POINT (15.823611 78.2025),,,70,Alvar Braathen,41
tsp.501,Svalbard,Svalbard ,Janssonhaugen P10,Continuous,16.4667,78.1833,275,102,POINT (16.466667 78.183333),,,65,Ketil Isaksen,38
tsp.503,Russia,Vankor Field,Graviyka 1,Continuous,86.4274,67.4821,24,10,POINT (86.42743 67.48209),,,81,Mikail Zheleznyak,45
tsp.504,Russia,Vankor Field,Bolshaya Heta,Continuous,83.5872,67.8074,41.9024,8,POINT (83.5872 67.8074),,,81,Mikail Zheleznyak,45
tsp.505,Russia,Vankor Field,Graviyka 2,Continuous,86.4379,67.4812,32,10,POINT (86.43791 67.48124),,,81,Mikail Zheleznyak,45
tsp.506,Russia,Vilyuy Dam,Cher1,Continuous,112.5014,63.0141,257,15,POINT (112.5014 63.0141),2013,2014,82,Sergey Veilikin,45
tsp.507,Russia,Vilyuy Dam,Anyiaah_1,Continuous,112.4919,63.4413,288.1884,50,POINT (112.4919 63.4413),2008,2009,82,Sergey Veilikin,45
tsp.508,Russia,Vilyuy Dam,Anyiaah_2,Continuous,112.4929,63.4415,288.3117,19,POINT (112.4929 63.4415),2008,2009,82,Sergey Veilikin,45
tsp.509,Russia,Vilyuy Dam,Svetly_1,Continuous,113.3905,62.9654,253,15,POINT (113.390531 62.965439),,,82,Sergey Veilikin,45
tsp.511,Italy,Cervinia,Cime Bianche Deep,Discontinuous,7.6927,45.9192,3095.6282,41,POINT (7.69270439 45.91923086),,,160,Paolo Pogliotti,34
tsp.512,Italy,Cervinia,Cervinia 2,Discontinuous,7.7,45.9167,3100,6,POINT (7.7 45.916667),,,58,Umberto Morra di Cella,34
tsp.513,Argentina,Ushuaia,Tierra del Fuego 1,Unknown,-68.0417,-54.675,1057,1.3,POINT (-68.041667 -54.675),,,37,Augusto Pérez-Alberti,19
tsp.514,Argentina,Ushuaia,Tierra del Fuego 2,Unknown,-68.0417,-54.675,975,1.5,POINT (-68.041667 -54.675),,,37,Augusto Pérez-Alberti,19
tsp.515,Argentina,Mendoza,Balcón I (Morenas Coloradas Rock Glacier),Mountain,-69.3719,-32.9619,3560,6,POINT (-69.371944 -32.961944),,,36,Dario Trombotto,20
tsp.516,Argentina,Mendoza,Balcon Superior (Mendoza),Mountain,-69.3706,-32.955,3586,5,POINT (-69.370556 -32.955),,,36,Dario Trombotto,20
tsp.517,Argentina,Mendoza,Balcon II (Morenas Coloradas Rock Glacier),Mountain,-69.3803,-32.9347,3770,3,POINT (-69.380278 -32.934722),,,36,Dario Trombotto,20
tsp.518,United States,Kaktovik,Kaktovik,Continuous,-143.63,70.114,13,65,POINT (-143.63 70.114),,,100,Kenji Yoshikawa,58
tsp.519,United States,Barrow,Barrow,Continuous,-156.767,71.291,1.7624,5.5,POINT (-156.767 71.291),2006,2010,100,Kenji Yoshikawa,58
tsp.520,United States,Barrow,USGS Special No.2 B,Continuous,-156.6283,71.3236,3.4307,9,POINT (-156.628333 71.323611),,,100,Kenji Yoshikawa,58
tsp.521,United States,Barrow,USGS Special No.3,Continuous,-156.6278,71.3236,3.546,8.3,POINT (-156.627778 71.323611),,,100,Kenji Yoshikawa,58
tsp.522,United States,Barrow,USGS Special No.2,Continuous,-156.6283,71.3208,4.8025,14,POINT (-156.628333 71.320833),,,100,Kenji Yoshikawa,58
tsp.523,United States,Barrow,Barrow Camphole,Continuous,-156.635,71.3167,5.591,24,POINT (-156.635 71.316667),,,100,Kenji Yoshikawa,58
tsp.524,United States,Barrow,Biocomplexity North,Continuous,-156.6017,71.2879,5.5846,7,POINT (-156.601742 71.287891),,,105,Craig E. Tweedie,53
tsp.525,United States,Barrow,Biocomplexity Mid,Continuous,-156.5956,71.2839,5.7913,7,POINT (-156.595585 71.28392),,,105,Craig E. Tweedie,53
tsp.526,United States,Barrow,Biocomplexity South,Continuous,-156.596,71.2816,6.0961,7,POINT (-156.596035 71.281624),,,105,Craig E. Tweedie,53
tsp.527,Greenland,Sisimiut-TKV,SIS2007-06*,Discontinuous,-53.6447,66.9361,49,7.3,POINT (-53.64472 66.9361),2005,2009,51,Thomas Ingeman-Nielsen,33
tsp.528,Greenland,Kangerlussuaq,KAN2005-01*,Continuous,-50.7028,67.006,36,9.8,POINT (-50.7028 67.006),,,51,Thomas Ingeman-Nielsen,33
tsp.529,Greenland,Kangerlussuaq,DH-GAP01,Continuous,-50.1811,67.125,374.4867,191,POINT (-50.181111 67.125),,,53,Lillimor C. Liljedahl,31
tsp.530,Greenland,Kangerlussuaq,DH-GAP03,Continuous,-50.0719,67.1508,451.1856,320,POINT (-50.071944 67.150833),,,53,Lillimor C. Liljedahl,31
tsp.531,Greenland,Nuuk,NUK04008-808a*,Sporadic,-51.6666,64.1666,38,5,POINT (-51.66663 64.16655),,,50,M.  Andrew,28
tsp.532,Greenland,Nuuk,NUK04008-808b*,Isolated Patches,-51.6666,64.1666,38,1.1,POINT (-51.66663 64.16655),,,50,M.  Andrew,28
tsp.534,Greenland,Thule air base,Thule,Continuous,-68.6886,76.5287,68,12,POINT (-68.688625 76.52872),,,52,Kevin Bjella,30
tsp.535,Greenland,Ilulissat-AP,ILU2007-01*,Discontinuous,-51.0975,69.2186,27.2431,3.8,POINT (-51.0975 69.21861),2007,2010,51,Thomas Ingeman-Nielsen,33
tsp.536,Mongolia,Bayan-Ulgii,Hashaat1 south,Continuous,90.8012,48.3926,2072.3638,10,POINT (90.8012 48.3926),,,64,Mamoru Ishikawa,37
tsp.537,Mongolia,Bayan-Ulgii,Hongor olon,Continuous,90.6152,48.4951,2382.8916,10,POINT (90.6152 48.4951),,,64,Mamoru Ishikawa,37
tsp.538,Mongolia,Bayan-Ulgii,Hashaat 2 northern,Continuous,90.6856,48.4951,2489.7759,10,POINT (90.6856 48.4951),,,64,Mamoru Ishikawa,37
tsp.539,Mongolia,Govi-Altai,Erdene2,Isolated Patches,97.7533,45.1384,2412.2454,8,POINT (97.7533 45.1384),,,64,Mamoru Ishikawa,37
tsp.540,Mongolia,Govi-Altai,Erdene1,Isolated Patches,97.8765,45.2696,2689.209,2.2,POINT (97.8765 45.2696),,,64,Mamoru Ishikawa,37
tsp.541,Mongolia,Bayankhongor,Bayanbulag2,Isolated Patches,97.9991,46.7594,2511.5718,4.4,POINT (97.9991 46.7594),,,64,Mamoru Ishikawa,37
tsp.542,Mongolia,Khuvsgul,Sharga ganga M13c,Continuous,99.2847,51.2131,1880.1932,5,POINT (99.2847 51.21309),,,62,Natsagdorj Sharkhuu,39
tsp.543,Mongolia,Khuvsgul,Tsagaan nuur M13,Continuous,99.2133,51.202,1976.187,15,POINT (99.21329 51.20203),,,62,Natsagdorj Sharkhuu,39
