FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.1126,United States,Happy Valley,Lupine Uni No. 1 (LUP),Continuous,-148.6215,69.1008,522.0062,469,POINT (-148.6215 69.10085),,,34,Gary D. Clow,18
tsp.1127,United States,Sagwon,Echooka Uni No. 1 (EB1),Continuous,-148.2719,69.3999,212.3731,595,POINT (-148.27188 69.3999),,,34,Gary D. Clow,18
tsp.1128,United States,Franklin Bluff,Canning River/CNR,Continuous,-146.3382,69.6059,269.9932,575,POINT (-146.338233 69.605883),,,34,Gary D. Clow,18
tsp.1135,Russia,Olkhon,Olkhon-2,Sporadic,107.436,53.229,477.4343,9,POINT (107.43602 53.22904),2013,2015,156,Elena Kozireva,78
tsp.1136,Russia,Olkhon,Olkhon-3,Sporadic,107.4353,53.229,476.4578,15,POINT (107.43529 53.229),2013,2015,156,Elena Kozireva,78
tsp.1137,Russia,Olkhon,Olkhon-4,Sporadic,107.4473,53.2195,544.0372,3.5,POINT (107.44731 53.21945),2013,2015,156,Elena Kozireva,78
tsp.1138,France,2Alpes-3065,2Alpes-2065,Mountain,6.1917,45,3065,100,POINT (6.19166667 45),,,157,Philippe Schoeneich,76
tsp.1139,France,2Alpes-Bellecombes,2Alpes-Bellecombes-SD1,Mountain,6.162,44.995,2704,15,POINT (6.162 44.995),2009,2015,157,Philippe Schoeneich,76
tsp.1140,France,2Alpes-Bellecombes,2Alpes-Bellecombes-SD2,Mountain,6.162,44.995,2642.6685,15,POINT (6.162 44.995),2009,2015,157,Philippe Schoeneich,76
tsp.1141,Russia,Kytalyk,Kytalik_GI-01_7m,Continuous,147.4883,70.8304,5,7,POINT (147.488341 70.830447),2010,2014,60,Go  Iwahana,40
tsp.1142,Canada,Daring Lake,Research Valley Borehole #1,Continuous,-111.5484,64.8718,66.5268,4.5,POINT (-111.5484 64.871817),2012,2014,158,Elyn Humphreys,1
tsp.1143,Canada,Daring Lake,Research Valley Borehole #2,Continuous,-111.5447,64.8706,66.5268,4.5,POINT (-111.544717 64.870617),2012,2014,158,Elyn Humphreys,1
tsp.1144,France,Aiguille du Midi,AdM-NE,Mountain,6.8883,45.8786,3745,10,POINT (6.888333 45.878556),2010,2016,174,Florence Magnin,83
tsp.1145,France,Aiguille du Midi,AdM-NW,Mountain,6.8869,45.8786,3737.8906,10,POINT (6.886917 45.878639),2009,2016,174,Florence Magnin,83
tsp.1146,France,Aiguille du Midi,AdM-S,Mountain,6.8878,45.8782,3753,10,POINT (6.887783 45.87816803),2009,2016,174,Florence Magnin,83
tsp.1147,Austria,Dachstein Massif,Koppenkarstein North Face,Mountain,13.6317,47.4665,2678.4084,7,POINT (13.63165863 47.46645318),,,159,Andreas Kellerer-Pirklbauer,27
tsp.1148,Canada,Nunavut,Taloyoak,Continuous,-93.58,69.49,-5.3046,15,POINT (-93.58 69.49),2010,2011,39,Sharon Smith,8
tsp.1149,Canada,Nunavut,Gjoa Haven,Continuous,-95.88,68.63,13.0642,15,POINT (-95.88 68.63),2012,2012,39,Sharon Smith,8
tsp.1150,Canada,Nunavut,Kugaaruk,Continuous,-89.8,68.54,3.3902,15,POINT (-89.8 68.54),2009,2012,39,Sharon Smith,8
tsp.1151,Canada,Nunavut,Repulse Bay,Continuous,-86.24,66.52,66.5268,15,POINT (-86.24 66.52),2009,2013,39,Sharon Smith,8
tsp.1153,Antarctica,Minna Bluff,Minna Bluff,Unknown,166.7662,-78.5115,22,1.1,POINT (166.76617 -78.51155),,,25,Cathy Seybold,12
tsp.1154,Russia,Nadym,ND_skv8_10,Discontinuous,72.8742,65.3156,6,10,POINT (72.87416667 65.31555556),,,76,Natalia Moskalenko,43
tsp.1155,Mongolia,Tsengel,Tsengel M10,Sporadic,89.0641,48.401,2950,1.3,POINT (89.06412 48.40102),,,62,Natsagdorj Sharkhuu,39
tsp.1156,Russia,Vaskiny Dachy,VD CALM,Continuous,68.9072,70.2836,54.6067,1.5,POINT (68.90719444 70.28361111),,,79,Alexander L. Kholodov,5
tsp.1157,Russia,Vaskiny Dachy,VD_AG19/23,Continuous,68.9091,70.2826,54,1.5,POINT (68.90908333 70.28255556),,,79,Alexander L. Kholodov,5
tsp.1158,Russia,Nadym,ND_skv3_09,Discontinuous,72.8692,65.3158,7,10,POINT (72.86916667 65.31583333),,,76,Natalia Moskalenko,43
tsp.1159,Russia,Vaskiny Dachy,VD1,Continuous,68.8916,70.2755,52,0.9,POINT (68.89163889 70.2755),,,79,Alexander L. Kholodov,5
